"video_id","title","channel","published_at","views","likes","comments","tags","duration_iso"
"FFnyRINlVNE","KIDZ BOP Celebrates Mental Health Awareness Month","KIDZ BOP",2022-05-06,150980,495,0,"music for kids, children, children's music, kidz bop, kids songs, kids pop, mental health awareness month, mental health awareness, mental health awareness for kids, kids mental health, children songs, children's songs, kids videos, music for children, songs for kids, kid safe music, kid friendly music, children music, singing, dancing, kids dance music, pop songs for kids, kids covers, children’s covers, kids music video, pop music, birthday party, kids party","PT35M16S"
"TTHvkbvH6e4","The Power of Flexibility in Mental Health 💛","Spark Growth",2025-10-10,2377799,97103,854,NA,"PT57S"
"7wvMz4-bddg","Are we having Anxiety issues? Anxiety Disorders | Mental Health Awareness Part-2@iamwithdhanyavarma","I AM with Dhanya Varma",2024-11-04,47809,1327,181,"why anxious, what is anxiety, symptoms of anxiety disorder, anxiety prevention, danxiety and depression, depression and anxiety, psychology, mental health, mantal health awareness, anxitey treatment, dhanya varma youtube channel, dhanya varma, latest epiosde, difference between amxiety and worry, life lessons, motivationla, inspirational, wellness, well being, panic attcks, panic","PT18M47S"
"LgfN8LSrAFw","Men's Mental Health Awareness Month Highlights Importance of Dialogue","FOX 17 WXMI",2025-06-17,60,3,1,"Mens Mental health awareness month, dialouge, grand rapids, grand-rapids, local-news, michigan, news","PT2M43S"
"t94QeKES-XA","ADHD Short Film | Mental Health Awareness Teen Stories | Hindi Short Movies Content Ka Keeda","ContentkaKeeda",2024-01-18,943326,27708,1014,"adhd short film, adhd, mental health short film, content ka keeda, teen stories, hindi short films, short films, content ka keeda new film, content ka keeda arushi video, content ka keeda youtube channel, mental health matters, adhd short movie, content ka keeda new video, hindi short movie, motivational short film, teenage stories, short movies, hindi short movies, content ka keeda short film, motivational video, mental health awareness, short film","PT22M20S"
"jGO89CXdwQ0","Teen Depression SHORT FILM | TEENAGE Hindi Short Movies | Mental Health Awareness | CONTENT KA KEEDA","ContentkaKeeda",2023-01-12,3202692,103959,3883,"teen depression short film, short film, teen depression, mental health, teengae short movies, content ka keeda youtube channel, content ka keeda hindi short film, teen short movies, teen, depression, mental health awareness, hindi short movie, content ka keeda, hindi short movies, teenage depression, teenage mental health, short film on moral, mental health awareness short film, mental health awareness short video, mental health awareness for students, hindi movies, movies","PT18M37S"
"muoncpANIa4","Mental Health Awareness (Advocacy Campaign Video) | Yu and Ai","Yu and Ai Official",2023-06-10,105974,998,110,"Mental Health Awareness, Mental Health Matters, End The Stigma, You Are Not Alone, Mental Wellness, Mental Health Support, Mental Health Advocacy, Break The Silence, Mental Health Education, Mental Health Campaign, Emotional Wellbeing, Mental Health Recovery, Mental Health Resources, Mental Health Journey, Mental Health Awareness Month, Mental Health Tips, Mental Health Empowerment, Advocacy Campaign, Advocacy Campaign Video, Advocacy Video, Ivana Aliwi, Movie Example","PT2M42S"
"tfyHextM7GM","Kites take flight in Cape Town to champion mental health awareness | REUTERS","Reuters",2025-10-28,2645,33,NA,"reuters, news, world news today, breaking news, news today, reuters youtube, markets today, streaming, live news, latest news, headlines today, world news, news today usa, reuters news, headlines","PT56S"
"KRaW1U1IR2A","A Reminder this Mental Health Awareness Day","Remtek Workplace",2025-10-10,73,2,0,NA,"PT28S"
"syKURb6zNLo","#mentalhealthawareness #bipolarawareness #authortube","Skyler Mason",2025-11-04,267399,11060,330,NA,"PT2M29S"
"rDLX1GQtUnE","Mental  health is a universal human right poster .Mental health day drawing poster #shorts","Saroja artsy",2023-10-02,48494,970,14,NA,"PT22S"
"WhZidCxq3j0","mental health awareness poster/ motivation and success","DIVART",2022-10-09,7116,108,2,NA,"PT18S"
"rWbl8JxEDBs","National Children’s Mental Health Awareness Day | Shrine Vailankanni school","SVSSS",2025-04-30,2335,38,0,"School, Chennai, shrine velankanni, CBSE School","PT1M3S"
"Mk1VcF_bn8Q","mental health awareness (advocacy campaign)","Ericka Colot",2025-03-24,631,8,0,NA,"PT1M"
"AL083_d-ugY","Your not alone. #mentalhealthawareness","Mental Health Awareness ",2025-07-15,1784,19,0,NA,"PT8S"
"9RT6ajpFW_Q","World Mental Health Day Drawing  #trending #ytshort#short#viral#shorts #ytshorts #easydrawing","Bharti Creative",2025-10-09,2505,26,0,"bharticreative, world mental health day, mental health day, mental health day Drawing, mental health day poster, world mental health day Drawing, Drawing for mental health day, Drawing for world mental health day, drawing, easy, easy Drawing","PT57S"
"3JbG6g8bJOQ","Street Play | World Mental Health Day| Department of Psychiatry","AIIMS Rajkot",2022-10-10,12838,166,3,NA,"PT6M38S"
"H10XyJfzQtI","Schizophrenia Episode Patient Video    #mentalhealth #schizophrenia  #mentalhealthmatters","SchizophrenicNYC",2025-11-08,32434,665,30,NA,"PT16S"
"qfdC6g141Rw","Men’s Mental Health Matters #awareness #fyp #trending #mentalhealth #fy","Using My Story",2024-02-01,766063,49487,2634,NA,"PT1M"
"4kSdJvHUjAQ","Mental Health Awareness with Re-Mind","Shinelikeadiamond.initiative",2025-06-23,3224,99,3,NA,"PT15M51S"
"pPIQcMzmB9I","Best mental health advert ☘️ #corecore #mentalhealth #infinitecore  (credit: Norwich football club)","Infinite Core",2024-04-19,220292,19066,197,NA,"PT1M"
"xNZY9_IoqXk","MENTAL HEALTH AWARENESS | DANCE WITH US 🤗❤️","INSYNC",2021-07-04,9769,198,33,NA,"PT2M50S"
"451Ow4n3oVQ","Every Order Supports Mental Health Awareness with SchizophrenicNYC #mentalhealth #schizophrenia","SchizophrenicNYC",2025-11-06,8048,251,15,NA,"PT16S"
"I5ER6LklLHc","Band Together: Benefit Concert for Mental Health Awareness","mattmahermusic",2021-05-21,5360,224,16,NA,"PT1H1M44S"
"1k6qI0FusFA","#awareness #mentalhealthawareness #song #mentalhealthmatters #edit #music #edits #mentalhealth","♥︎𝒞𝒽𝒶𝓇𝓁ℯℯℯℯℯℯℯℯℯℯℯℯ♥︎",2025-10-19,971,16,2,NA,"PT28S"
"MoDLiKC9CuY","mental health awareness month, day 1 #mentalhealth #mentalhealthmatters","haleyrumbles",2025-05-03,1522,28,1,NA,"PT2M9S"
"SvfWxRh9TGE","Early Signs ng Mental Health Problems - Payo ni Doc Willie Ong","Doc Willie Ong",2023-06-16,151241,3552,15,"heal, health, home remedies, doctor, weight loss, food, nutrition, health tips, treatment, symptoms, diagnosis, natural, alternative, easy, cheap, effective","PT15M38S"
"MD3hAlqb6gI","Essay on The Importance of Mental Health","Education in Second",2023-03-16,84456,1900,21,"essay on mental health, mental health, importance of mental health essay, mental health awareness, essay on importance of mental health, essay on world mental health day, speech on mental health, essay on mental health in english, how to write essay on mental health, effects of mental health essay, world mental health day essay, mental health essay for ssc cgl, world mental health day, importance of health essay pdf, importance of health essay spm","PT39S"
"xuEHt9SPUNM","Mental Health Day Drawing | Mental Health Day Poster | Mental Health Awareness Drawing","Easy Drawings By Crafts A2Z",2024-10-09,31613,410,6,"mental health day poster, mental health day drawing, mental health awareness drawing","PT59S"
"CS5TAl3_JSA","Yoga for Empaths | Boundaries for Holistic Living and Mental Health Awareness - OUR ECHO","Our Echo Yoga",2022-07-14,5918,360,60,"echo flow yoga, boundaries for holistic living and mental health awareness, yoga for empaths, mental health awareness, boundaries for holistic living, mental health, health awareness, boundaries, holistic living, empath yoga, accessible yoga, how to have boundaries, boundaries for empaths, empath training, integrative yoga, yoga for mental health, yoga for health and wellness, how to be an empath, healthy boundries, integrative mental health, our echo, yoga for awakening","PT28M52S"
"0fQKODp5740","Ricky Hatton’s LAST EVER EMOTIONAL ADDRESS to his MENTAL HEALTH STRUGGLES | Powered by chinkseyMEDIA","HYBR1D",2025-09-14,296513,4359,373,"Aftv, Arsenal","PT21S"
"se3RwG5ZA4w","Mental Health Part 72💚  #mentalhealthawareness #corecore #mindcore #mentalhealth #infinitecore #core","Mind Core",2024-03-06,1312358,58334,1234,"mental health awareness campaign, depression, mental health, mental health awareness, mental health awareness month, mental illness, corecore theo von, corecore, World Health Day-Depression, sad, world health day, corecore sad, corecore songs, core, mind core, mind, infinite core, qkthr, mindset, suicide, core core, shorts, cry, when was the last time you cried, billie eilish, mental health campaign, cheating, did you cheat on me, gold digger, friendzone, fight club, bojack horseman","PT48S"
"yZQbmF-ARYU","Cheslie Kryst’s Mom Talks Daughter’s Private Pain and Raising Mental Health Awareness","extratv",2022-05-13,34084,609,180,NA,"PT3M51S"
"Bx9Ob7WLpRw","💭 Inside My Mind | Emotional Mental Health Awareness Song | You Are Not Alone ❤️ | Healing Song 2025","Aazis little One",2025-10-08,106,1,0,NA,"PT2M34S"
"bu0U4PkiDLc","ARE YOU OKAY? - MENTAL HEALTH ISSUES AND AWARENESS - ADVOCACY CAMPAIGN VIDEO","2A BSBA HRM 2022 Philippine Popular Culture",2022-05-30,89174,1290,NA,NA,"PT3M6S"
"2x84OkcjL8U","“The Truth About Mental Health 💭 | Jolly Boy John”#mentalhealth #anxietyawareness #motivation","Jollyboy John",2025-10-02,196,4,3,"daily mantra, mantra motivation, positivity shorts, mindset reset, motivational quotes, Jolly Boy John, positive thinking","PT31S"
